Filter,Implementation,Workers,Time
blur,Serial,2,38.4414
blur,OpenMP,2,
blur,POSIX,2,40.746
blur,MPI,2,20.3655
blur,Hybrid,2,5.5609
blur,Serial,4,38.3303
blur,OpenMP,4,
blur,POSIX,4,69.742
blur,MPI,4,18.1705
blur,Hybrid,4,4.7721
blur,Serial,6,41.1387
blur,OpenMP,6,
blur,POSIX,6,138.367
blur,MPI,6,23.0716
blur,Hybrid,6,4.0934
edge,Serial,2,1.1125
edge,OpenMP,2,
edge,POSIX,2,1.1423
edge,MPI,2,0.81
edge,Hybrid,2,0.4113
edge,Serial,4,1.4891
edge,OpenMP,4,
edge,POSIX,4,2.1063
edge,MPI,4,0.5886
edge,Hybrid,4,0.2227
edge,Serial,6,1.0614
edge,OpenMP,6,
edge,POSIX,6,1.7843
edge,MPI,6,0.4316
edge,Hybrid,6,0.1719
sharpen,Serial,2,0.1876
sharpen,OpenMP,2,
sharpen,POSIX,2,0.178
sharpen,MPI,2,0.0672
sharpen,Hybrid,2,0.0335
sharpen,Serial,4,0.1423
sharpen,OpenMP,4,
sharpen,POSIX,4,0.1544
sharpen,MPI,4,0.0578
sharpen,Hybrid,4,0.0255
sharpen,Serial,6,0.1337
sharpen,OpenMP,6,
sharpen,POSIX,6,0.2183
sharpen,MPI,6,0.0476
sharpen,Hybrid,6,0.055
